name,website,application_url,application_email,submission_type,stage_focus,industry_focus,region_focus,form_complexity,question_count_range,required_documents,notes
Vista Equity Partners 5,https://vistaequitypartners5.io,https://vistaequitypartners5.io/apply,apply@vistaequitypartners5.io,email,"Seed,Series A","B2B SaaS,Deep tech,E-commerce","North America,Global",simple,1-5,"legal_documents,video",
Accel Partners 4,https://accelpartners4.com,https://accelpartners4.com/apply,,other,"Pre-seed,Seed","B2B SaaS,Developer tools,AI/ML","EMEA,Asia",comprehensive,1-5,"business_plan,video",Generated sample data for testing
Accel Partners 5,https://accelpartners5.capital,https://accelpartners5.capital/apply,,form,"Series B,Seed","AI/ML,Climate tech,Fintech","Global,North America",simple,21+,"financial_projections,pitch_deck",
Accel Partners 6,https://accelpartners6.vc,https://accelpartners6.vc/apply,apply@accelpartners6.vc,form,"Series A,Series C","E-commerce,Healthtech,Marketplace","Europe,Global",standard,21+,"pitch_deck,business_plan",
Bessemer Venture Partners 4,https://bessemerventurepartn.vc,https://bessemerventurepartn.vc/apply,,form,"Series C,Pre-seed","Web3,AI/ML,B2B SaaS","Asia,EMEA",standard,11-20,"business_plan,pitch_deck",
Salesforce Ventures 5,https://salesforceventures5.capital,https://salesforceventures5.capital/apply,apply@salesforceventures5.capital,email,"Series C,Series A","Developer tools,B2B SaaS,Fintech","North America,Global",comprehensive,6-10,"legal_documents,video",
Accel Partners 7,https://accelpartners7.io,https://accelpartners7.io/apply,,email,"Series B,Pre-seed","Healthtech,Deep tech,Developer tools","North America,Asia",standard,11-20,"financial_projections,legal_documents",
First Round Capital 4,https://firstroundcapital4.co,https://firstroundcapital4.co/apply,apply@firstroundcapital4.co,email,"Series A,Pre-seed","Healthtech,AI/ML,Deep tech","Europe,North America",comprehensive,6-10,"legal_documents,video",Generated sample data for testing
Advent International 4,https://adventinternational4.io,https://adventinternational4.io/apply,,other,"Pre-seed,Series A","Consumer,B2B SaaS,Web3","EMEA,Global",comprehensive,6-10,"pitch_deck,financial_projections",Generated sample data for testing
Kleiner Perkins 6,https://kleinerperkins6.capital,https://kleinerperkins6.capital/apply,apply@kleinerperkins6.capital,other,"Series B,Pre-seed","E-commerce,B2B SaaS,AI/ML","EMEA,Asia",standard,6-10,"legal_documents,video",Generated sample data for testing
Andreessen Horowitz 5,https://andreessenhorowitz5.io,https://andreessenhorowitz5.io/apply,apply@andreessenhorowitz5.io,email,"Seed,Series C","Fintech,Gaming,Web3","North America,Europe",standard,6-10,"legal_documents,business_plan",
Salesforce Ventures 6,https://salesforceventures6.vc,https://salesforceventures6.vc/apply,apply@salesforceventures6.vc,form,"Series C,Series B","Deep tech,AI/ML,Fintech","Asia,Europe",simple,21+,"legal_documents,business_plan",Generated sample data for testing
Intel Capital 4,https://intelcapital4.vc,https://intelcapital4.vc/apply,,other,"Pre-seed,Series B","B2B SaaS,Web3,Developer tools","Asia,Global",standard,6-10,"pitch_deck,business_plan",
KKR & Co 4,https://kkrco4.com,https://kkrco4.com/apply,apply@kkrco4.com,other,"Series B,Pre-seed","Gaming,Consumer,E-commerce","North America,Global",standard,6-10,"legal_documents,business_plan",
Intel Capital 5,https://intelcapital5.capital,https://intelcapital5.capital/apply,apply@intelcapital5.capital,other,"Pre-seed,Series A","B2B SaaS,E-commerce,Fintech","EMEA,North America",standard,1-5,"pitch_deck,video",Generated sample data for testing
Tiger Global Management 4,https://tigerglobalmanagemen.capital,https://tigerglobalmanagemen.capital/apply,apply@tigerglobalmanagemen.capital,form,"Series B,Series A","Developer tools,Gaming,E-commerce","Global,Europe",standard,21+,"business_plan,pitch_deck",Generated sample data for testing
Index Ventures 4,https://indexventures4.com,https://indexventures4.com/apply,,other,"Series C,Series B","Climate tech,Developer tools,B2B SaaS","Asia,Europe",comprehensive,6-10,"business_plan,video",
Accel Partners 8,https://accelpartners8.com,https://accelpartners8.com/apply,,other,"Seed,Series B","Climate tech,Consumer,Gaming","Asia,Global",standard,11-20,"business_plan,video",Generated sample data for testing
Kleiner Perkins 7,https://kleinerperkins7.com,https://kleinerperkins7.com/apply,,email,"Series C,Series B","B2B SaaS,Web3,Fintech","Europe,Global",comprehensive,11-20,"business_plan,traction_data",
Andreessen Horowitz 6,https://andreessenhorowitz6.vc,https://andreessenhorowitz6.vc/apply,,form,"Pre-seed,Series A","Fintech,B2B SaaS,Gaming","Global,Europe",simple,11-20,"video,business_plan",
Accel Partners 9,https://accelpartners9.com,https://accelpartners9.com/apply,,email,"Series B,Series C","Consumer,E-commerce,Gaming","EMEA,Europe",comprehensive,6-10,"financial_projections,pitch_deck",
General Catalyst 4,https://generalcatalyst4.com,https://generalcatalyst4.com/apply,,form,"Series B,Seed","Climate tech,Developer tools,E-commerce","North America,Global",standard,11-20,"business_plan,pitch_deck",
Lightspeed Venture Partners 5,https://lightspeedventurepar.io,https://lightspeedventurepar.io/apply,,form,"Series A,Series C","Fintech,B2B SaaS,Gaming","Asia,EMEA",standard,21+,"traction_data,business_plan",
Insight Partners 4,https://insightpartners4.capital,https://insightpartners4.capital/apply,,form,"Series C,Series A","B2B SaaS,Deep tech,Healthtech","Europe,Global",standard,11-20,"pitch_deck,video",
Accel Partners 10,https://accelpartners10.com,https://accelpartners10.com/apply,apply@accelpartners10.com,email,"Pre-seed,Series C","Gaming,B2B SaaS,AI/ML","Global,North America",simple,6-10,"video,pitch_deck",Generated sample data for testing
TPG Growth 4,https://tpggrowth4.co,https://tpggrowth4.co/apply,apply@tpggrowth4.co,email,"Pre-seed,Series A","Climate tech,Developer tools,Fintech","EMEA,Global",comprehensive,1-5,"business_plan,video",
Salesforce Ventures 7,https://salesforceventures7.co,https://salesforceventures7.co/apply,,other,"Series A,Series C","Fintech,Climate tech,B2B SaaS","North America,Asia",standard,6-10,"legal_documents,pitch_deck",
Silver Lake Partners 5,https://silverlakepartners5.capital,https://silverlakepartners5.capital/apply,,form,"Pre-seed,Series B","E-commerce,B2B SaaS,Developer tools","North America,Asia",comprehensive,11-20,"business_plan,traction_data",Generated sample data for testing
Insight Partners 5,https://insightpartners5.capital,https://insightpartners5.capital/apply,apply@insightpartners5.capital,form,"Pre-seed,Seed","Web3,Marketplace,Consumer","North America,Global",simple,6-10,"legal_documents,financial_projections",
Intel Capital 6,https://intelcapital6.vc,https://intelcapital6.vc/apply,,form,"Pre-seed,Series C","Healthtech,B2B SaaS,Gaming","Global,Asia",comprehensive,11-20,"business_plan,legal_documents",Generated sample data for testing
Accel Partners 11,https://accelpartners11.capital,https://accelpartners11.capital/apply,apply@accelpartners11.capital,email,"Pre-seed,Seed","Consumer,E-commerce,AI/ML","EMEA,Europe",comprehensive,6-10,"pitch_deck,financial_projections",Generated sample data for testing
Thoma Bravo 4,https://thomabravo4.co,https://thomabravo4.co/apply,apply@thomabravo4.co,other,"Seed,Pre-seed","Developer tools,Fintech,B2B SaaS","Global,Europe",standard,6-10,"pitch_deck,financial_projections",Generated sample data for testing
Lightspeed Venture Partners 6,https://lightspeedventurepar.capital,https://lightspeedventurepar.capital/apply,,email,"Pre-seed,Seed","E-commerce,Fintech,AI/ML","Asia,Europe",simple,1-5,"traction_data,video",Generated sample data for testing
New Enterprise Associates 5,https://newenterpriseassocia.com,https://newenterpriseassocia.com/apply,apply@newenterpriseassocia.com,form,"Series A,Seed","B2B SaaS,E-commerce,Gaming","EMEA,North America",comprehensive,1-5,"pitch_deck,video",Generated sample data for testing
Tiger Global Management 5,https://tigerglobalmanagemen.vc,https://tigerglobalmanagemen.vc/apply,apply@tigerglobalmanagemen.vc,form,"Seed,Series C","E-commerce,Marketplace,Developer tools","Global,North America",comprehensive,21+,"pitch_deck,traction_data",Generated sample data for testing
Union Square Ventures 4,https://unionsquareventures4.com,https://unionsquareventures4.com/apply,apply@unionsquareventures4.com,other,"Series B,Series C","Consumer,AI/ML,Developer tools","Global,North America",simple,6-10,"business_plan,financial_projections",Generated sample data for testing
Bessemer Venture Partners 5,https://bessemerventurepartn.io,https://bessemerventurepartn.io/apply,,other,"Pre-seed,Seed","B2B SaaS,E-commerce,Developer tools","Europe,North America",standard,21+,"pitch_deck,financial_projections",Generated sample data for testing
General Atlantic 5,https://generalatlantic5.com,https://generalatlantic5.com/apply,apply@generalatlantic5.com,email,"Series C,Series B","Marketplace,B2B SaaS,Consumer","Europe,North America",simple,6-10,"pitch_deck,video",Generated sample data for testing
Tiger Global Management 6,https://tigerglobalmanagemen.io,https://tigerglobalmanagemen.io/apply,,other,"Series A,Pre-seed","B2B SaaS,Climate tech,Fintech","North America,Asia",comprehensive,11-20,"traction_data,financial_projections",Generated sample data for testing
DST Global 5,https://dstglobal5.com,https://dstglobal5.com/apply,,form,"Series B,Seed","Developer tools,B2B SaaS,Fintech","Asia,Europe",comprehensive,1-5,"video,pitch_deck",Generated sample data for testing
