name,website,application_url,application_email,submission_type,stage_focus,industry_focus,region_focus,form_complexity,question_count_range,required_documents,notes
TPG Growth,https://tpggrowth.co,https://tpggrowth.co/apply,,email,"Series A,Series B","B2B SaaS,E-commerce,Healthtech","North America,Europe",standard,1-5,"video,business_plan",Generated sample data for testing
KKR & Co,https://kkrco.capital,https://kkrco.capital/apply,,form,"Series B,Seed","Consumer,B2B SaaS,Fintech","Asia,Europe",comprehensive,11-20,"pitch_deck,video",
Warburg Pincus,https://warburgpincus.io,https://warburgpincus.io/apply,apply@warburgpincus.io,other,"Series C,Pre-seed","B2B SaaS,Fintech,Gaming","EMEA,Global",simple,1-5,"traction_data,pitch_deck",Generated sample data for testing
General Atlantic,https://generalatlantic.capital,https://generalatlantic.capital/apply,apply@generalatlantic.capital,form,"Seed,Series A","Deep tech,AI/ML,Fintech","North America,Global",simple,21+,"pitch_deck,video",
Silver Lake Partners,https://silverlakepartners.capital,https://silverlakepartners.capital/apply,apply@silverlakepartners.capital,other,"Series C,Pre-seed","AI/ML,B2B SaaS,Climate tech","EMEA,Europe",standard,1-5,"financial_projections,video",
Vista Equity Partners,https://vistaequitypartners.io,https://vistaequitypartners.io/apply,apply@vistaequitypartners.io,other,"Series A,Pre-seed","Web3,B2B SaaS,Marketplace","Asia,North America",comprehensive,21+,"video,financial_projections",Generated sample data for testing
Thoma Bravo,https://thomabravo.vc,https://thomabravo.vc/apply,,other,"Series A,Series B","Consumer,Deep tech,Healthtech","Asia,Global",simple,21+,"traction_data,business_plan",
Advent International,https://adventinternational.co,https://adventinternational.co/apply,apply@adventinternational.co,email,"Series C,Series A","Gaming,Consumer,Deep tech","Asia,Global",simple,6-10,"video,business_plan",Generated sample data for testing
Blackstone Growth 2,https://blackstonegrowth2.capital,https://blackstonegrowth2.capital/apply,apply@blackstonegrowth2.capital,form,"Pre-seed,Series C","B2B SaaS,E-commerce,Developer tools","Global,North America",standard,11-20,"video,business_plan",
TPG Growth 2,https://tpggrowth2.vc,https://tpggrowth2.vc/apply,apply@tpggrowth2.vc,form,"Seed,Pre-seed","Deep tech,B2B SaaS,Web3","Asia,EMEA",simple,1-5,"financial_projections,pitch_deck",Generated sample data for testing
Accel Partners 2,https://accelpartners2.vc,https://accelpartners2.vc/apply,,email,"Series C,Pre-seed","Deep tech,Climate tech,B2B SaaS","EMEA,Europe",simple,21+,"business_plan,video",
Advent International 2,https://adventinternational2.co,https://adventinternational2.co/apply,,other,"Pre-seed,Series A","Healthtech,AI/ML,Climate tech","Global,Asia",comprehensive,11-20,"traction_data,business_plan",
Andreessen Horowitz 2,https://andreessenhorowitz2.vc,https://andreessenhorowitz2.vc/apply,,email,"Seed,Series C","B2B SaaS,Healthtech,Web3","Asia,Global",comprehensive,21+,"pitch_deck,business_plan",Generated sample data for testing
General Atlantic 2,https://generalatlantic2.com,https://generalatlantic2.com/apply,apply@generalatlantic2.com,other,"Pre-seed,Series A","Developer tools,E-commerce,Deep tech","Global,Asia",comprehensive,6-10,"business_plan,video",Generated sample data for testing
Blackstone Growth 3,https://blackstonegrowth3.vc,https://blackstonegrowth3.vc/apply,,form,"Seed,Pre-seed","B2B SaaS,Fintech,Web3","Asia,Global",comprehensive,21+,"pitch_deck,video",Generated sample data for testing
Benchmark Capital 2,https://benchmarkcapital2.vc,https://benchmarkcapital2.vc/apply,apply@benchmarkcapital2.vc,other,"Series C,Seed","Marketplace,AI/ML,Developer tools","Global,EMEA",standard,1-5,"pitch_deck,business_plan",
Union Square Ventures 2,https://unionsquareventures2.capital,https://unionsquareventures2.capital/apply,,form,"Series B,Seed","Healthtech,AI/ML,Consumer","Europe,North America",comprehensive,1-5,"traction_data,pitch_deck",Generated sample data for testing
Union Square Ventures 3,https://unionsquareventures3.io,https://unionsquareventures3.io/apply,,email,"Pre-seed,Seed","Developer tools,Fintech,Web3","North America,Asia",simple,11-20,"pitch_deck,video",
Intel Capital 2,https://intelcapital2.io,https://intelcapital2.io/apply,apply@intelcapital2.io,other,"Series A,Seed","Deep tech,Healthtech,Marketplace","North America,Global",simple,1-5,"financial_projections,pitch_deck",Generated sample data for testing
Sequoia Capital 2,https://sequoiacapital2.com,https://sequoiacapital2.com/apply,,other,"Series B,Seed","Gaming,B2B SaaS,Fintech","Europe,North America",comprehensive,21+,"pitch_deck,video",
New Enterprise Associates 2,https://newenterpriseassocia.vc,https://newenterpriseassocia.vc/apply,,other,"Pre-seed,Seed","B2B SaaS,Fintech,Healthtech","Global,North America",comprehensive,6-10,"pitch_deck,traction_data",
Vista Equity Partners 2,https://vistaequitypartners2.com,https://vistaequitypartners2.com/apply,,form,"Series C,Series B","Consumer,Web3,Healthtech","Global,Asia",simple,21+,"video,pitch_deck",Generated sample data for testing
Coatue Management 2,https://coatuemanagement2.io,https://coatuemanagement2.io/apply,apply@coatuemanagement2.io,other,"Series C,Series B","Web3,E-commerce,Fintech","Europe,Asia",standard,11-20,"pitch_deck,financial_projections",
Warburg Pincus 2,https://warburgpincus2.vc,https://warburgpincus2.vc/apply,,other,"Seed,Series C","Healthtech,E-commerce,Climate tech","Global,Asia",standard,6-10,"business_plan,pitch_deck",
Sequoia Capital 3,https://sequoiacapital3.capital,https://sequoiacapital3.capital/apply,apply@sequoiacapital3.capital,other,"Seed,Series A","B2B SaaS,Deep tech,AI/ML","Global,North America",simple,11-20,"pitch_deck,video",Generated sample data for testing
Blackstone Growth 4,https://blackstonegrowth4.capital,https://blackstonegrowth4.capital/apply,,other,"Series B,Series A","Fintech,AI/ML,B2B SaaS","North America,Europe",simple,11-20,"business_plan,traction_data",
Blackstone Growth 5,https://blackstonegrowth5.capital,https://blackstonegrowth5.capital/apply,apply@blackstonegrowth5.capital,other,"Pre-seed,Seed","Gaming,Climate tech,B2B SaaS","North America,EMEA",standard,1-5,"pitch_deck,financial_projections",
DST Global 2,https://dstglobal2.vc,https://dstglobal2.vc/apply,,other,"Seed,Pre-seed","E-commerce,Developer tools,B2B SaaS","Global,Asia",standard,1-5,"pitch_deck,traction_data",
Benchmark Capital 3,https://benchmarkcapital3.io,https://benchmarkcapital3.io/apply,,other,"Series B,Series A","B2B SaaS,Climate tech,Developer tools","Europe,Asia",standard,6-10,"pitch_deck,business_plan",
KKR & Co 2,https://kkrco2.vc,https://kkrco2.vc/apply,apply@kkrco2.vc,email,"Pre-seed,Series B","Healthtech,Deep tech,Web3","Europe,North America",simple,21+,"financial_projections,traction_data",
Advent International 3,https://adventinternational3.co,https://adventinternational3.co/apply,,other,"Seed,Pre-seed","B2B SaaS,Climate tech,Developer tools","Asia,North America",standard,1-5,"pitch_deck,business_plan",Generated sample data for testing
Accel Partners 3,https://accelpartners3.capital,https://accelpartners3.capital/apply,apply@accelpartners3.capital,email,"Series B,Seed","Deep tech,Climate tech,Healthtech","Global,Asia",simple,6-10,"business_plan,financial_projections",Generated sample data for testing
Lightspeed Venture Partners 2,https://lightspeedventurepar.vc,https://lightspeedventurepar.vc/apply,apply@lightspeedventurepar.vc,form,"Series B,Series A","E-commerce,Climate tech,Marketplace","Europe,Global",comprehensive,21+,"business_plan,pitch_deck",
Insight Partners 2,https://insightpartners2.co,https://insightpartners2.co/apply,,form,"Series C,Pre-seed","Gaming,AI/ML,Web3","Global,Europe",comprehensive,6-10,"financial_projections,pitch_deck",
Advent International 4,https://adventinternational4.com,https://adventinternational4.com/apply,apply@adventinternational4.com,form,"Series B,Series A","Marketplace,Fintech,Developer tools","Asia,Global",comprehensive,11-20,"business_plan,traction_data",Generated sample data for testing
Warburg Pincus 3,https://warburgpincus3.capital,https://warburgpincus3.capital/apply,apply@warburgpincus3.capital,email,"Pre-seed,Seed","Fintech,Climate tech,Web3","Global,Asia",simple,21+,"business_plan,financial_projections",Generated sample data for testing
General Catalyst 2,https://generalcatalyst2.com,https://generalcatalyst2.com/apply,apply@generalcatalyst2.com,form,"Series A,Seed","Healthtech,AI/ML,E-commerce","Asia,Europe",standard,6-10,"business_plan,pitch_deck",
First Round Capital 2,https://firstroundcapital2.com,https://firstroundcapital2.com/apply,apply@firstroundcapital2.com,email,"Seed,Pre-seed","E-commerce,Deep tech,Healthtech","EMEA,Global",comprehensive,1-5,"business_plan,pitch_deck",Generated sample data for testing
Andreessen Horowitz 3,https://andreessenhorowitz3.com,https://andreessenhorowitz3.com/apply,apply@andreessenhorowitz3.com,email,"Series A,Series B","Gaming,B2B SaaS,Fintech","North America,Asia",simple,21+,"business_plan,video",Generated sample data for testing
GV (Google Ventures) 3,https://gvgoogleventures3.io,https://gvgoogleventures3.io/apply,apply@gvgoogleventures3.io,email,"Pre-seed,Seed","B2B SaaS,Climate tech,Web3","EMEA,Global",simple,11-20,"traction_data,video",Generated sample data for testing
Andreessen Horowitz 4,https://andreessenhorowitz4.vc,https://andreessenhorowitz4.vc/apply,,form,"Seed,Pre-seed","Climate tech,B2B SaaS,Deep tech","EMEA,Europe",standard,11-20,"pitch_deck,video",Generated sample data for testing
KKR & Co 3,https://kkrco3.io,https://kkrco3.io/apply,apply@kkrco3.io,email,"Series C,Series B","B2B SaaS,E-commerce,Developer tools","Europe,Global",standard,6-10,"traction_data,business_plan",
Thoma Bravo 3,https://thomabravo3.io,https://thomabravo3.io/apply,apply@thomabravo3.io,email,"Pre-seed,Seed","AI/ML,Climate tech,Healthtech","EMEA,Asia",simple,11-20,"traction_data,business_plan",Generated sample data for testing
First Round Capital 3,https://firstroundcapital3.capital,https://firstroundcapital3.capital/apply,apply@firstroundcapital3.capital,form,"Series A,Pre-seed","B2B SaaS,Web3,Fintech","Asia,Europe",standard,21+,"financial_projections,video",Generated sample data for testing
Advent International 5,https://adventinternational5.co,https://adventinternational5.co/apply,apply@adventinternational5.co,form,"Pre-seed,Seed","Fintech,Climate tech,AI/ML","Europe,Global",standard,1-5,"video,pitch_deck",Generated sample data for testing
DST Global 3,https://dstglobal3.co,https://dstglobal3.co/apply,apply@dstglobal3.co,email,"Pre-seed,Series A","Gaming,Marketplace,B2B SaaS","Europe,North America",standard,21+,"business_plan,video",Generated sample data for testing
Silver Lake Partners 3,https://silverlakepartners3.io,https://silverlakepartners3.io/apply,,email,"Series A,Seed","B2B SaaS,E-commerce,Fintech","North America,Europe",standard,1-5,"video,pitch_deck",Generated sample data for testing
Blackstone Growth 6,https://blackstonegrowth6.io,https://blackstonegrowth6.io/apply,,email,"Series B,Series C","Consumer,Healthtech,Fintech","EMEA,Asia",comprehensive,11-20,"traction_data,financial_projections",Generated sample data for testing
General Catalyst 3,https://generalcatalyst3.capital,https://generalcatalyst3.capital/apply,,form,"Series C,Pre-seed","B2B SaaS,Fintech,E-commerce","Asia,Europe",standard,11-20,"pitch_deck,video",Generated sample data for testing
Founders Fund 3,https://foundersfund3.vc,https://foundersfund3.vc/apply,,form,"Series A,Pre-seed","Gaming,Climate tech,E-commerce","Global,Europe",standard,6-10,"business_plan,video",Generated sample data for testing
Coatue Management 3,https://coatuemanagement3.vc,https://coatuemanagement3.vc/apply,,form,"Seed,Series A","Healthtech,Fintech,E-commerce","North America,Europe",comprehensive,21+,"financial_projections,traction_data",Generated sample data for testing
Advent International 6,https://adventinternational6.com,https://adventinternational6.com/apply,apply@adventinternational6.com,form,"Series C,Seed","Consumer,B2B SaaS,Fintech","Global,Asia",simple,6-10,"video,traction_data",
Advent International 7,https://adventinternational7.co,https://adventinternational7.co/apply,,other,"Series A,Series C","Developer tools,Fintech,Web3","EMEA,North America",simple,6-10,"pitch_deck,business_plan",
Thoma Bravo 4,https://thomabravo4.vc,https://thomabravo4.vc/apply,apply@thomabravo4.vc,other,"Pre-seed,Series C","Fintech,Consumer,B2B SaaS","Global,Asia",simple,11-20,"financial_projections,pitch_deck",Generated sample data for testing
First Round Capital 4,https://firstroundcapital4.io,https://firstroundcapital4.io/apply,,other,"Series C,Series B","B2B SaaS,Gaming,Developer tools","North America,Europe",simple,11-20,"pitch_deck,business_plan",Generated sample data for testing
SoftBank Vision Fund 3,https://softbankvisionfund3.io,https://softbankvisionfund3.io/apply,apply@softbankvisionfund3.io,form,"Seed,Series B","Deep tech,Fintech,AI/ML","North America,Global",simple,1-5,"video,business_plan",
Insight Partners 3,https://insightpartners3.capital,https://insightpartners3.capital/apply,,other,"Seed,Series C","B2B SaaS,AI/ML,E-commerce","Global,North America",comprehensive,11-20,"business_plan,video",Generated sample data for testing
Salesforce Ventures 3,https://salesforceventures3.io,https://salesforceventures3.io/apply,,other,"Series B,Series C","Climate tech,Gaming,Web3","North America,Asia",simple,21+,"video,business_plan",Generated sample data for testing
Accel Partners 4,https://accelpartners4.com,https://accelpartners4.com/apply,,email,"Series A,Series B","B2B SaaS,Consumer,Gaming","Global,Europe",standard,6-10,"financial_projections,pitch_deck",Generated sample data for testing
General Atlantic 3,https://generalatlantic3.vc,https://generalatlantic3.vc/apply,apply@generalatlantic3.vc,other,"Seed,Pre-seed","Marketplace,Fintech,AI/ML","North America,Asia",simple,6-10,"financial_projections,pitch_deck",Generated sample data for testing
Bessemer Venture Partners 3,https://bessemerventurepartn.co,https://bessemerventurepartn.co/apply,,other,"Pre-seed,Seed","Fintech,B2B SaaS,Marketplace","Asia,North America",comprehensive,11-20,"video,financial_projections",Generated sample data for testing
Intel Capital 3,https://intelcapital3.capital,https://intelcapital3.capital/apply,,email,"Series C,Series B","Climate tech,Marketplace,B2B SaaS","EMEA,Europe",comprehensive,11-20,"pitch_deck,video",
Lightspeed Venture Partners 3,https://lightspeedventurepar.com,https://lightspeedventurepar.com/apply,,form,"Series B,Series A","Developer tools,E-commerce,Healthtech","Europe,EMEA",simple,21+,"video,pitch_deck",Generated sample data for testing
Silver Lake Partners 4,https://silverlakepartners4.io,https://silverlakepartners4.io/apply,,form,"Series B,Seed","Developer tools,B2B SaaS,Fintech","North America,Asia",comprehensive,11-20,"business_plan,traction_data",
First Round Capital 5,https://firstroundcapital5.io,https://firstroundcapital5.io/apply,apply@firstroundcapital5.io,form,"Pre-seed,Series B","B2B SaaS,E-commerce,Gaming","Global,Asia",simple,1-5,"financial_projections,pitch_deck",Generated sample data for testing
Benchmark Capital 4,https://benchmarkcapital4.co,https://benchmarkcapital4.co/apply,apply@benchmarkcapital4.co,email,"Series B,Pre-seed","Web3,Fintech,E-commerce","North America,Europe",simple,21+,"traction_data,video",Generated sample data for testing
Coatue Management 4,https://coatuemanagement4.co,https://coatuemanagement4.co/apply,apply@coatuemanagement4.co,form,"Series B,Pre-seed","Consumer,Healthtech,E-commerce","North America,Global",comprehensive,6-10,"video,pitch_deck",
SoftBank Vision Fund 4,https://softbankvisionfund4.co,https://softbankvisionfund4.co/apply,apply@softbankvisionfund4.co,other,"Series A,Seed","Fintech,Deep tech,Gaming","Europe,North America",comprehensive,21+,"traction_data,video",Generated sample data for testing
Bessemer Venture Partners 4,https://bessemerventurepartn.com,https://bessemerventurepartn.com/apply,apply@bessemerventurepartn.com,form,"Series A,Seed","B2B SaaS,Gaming,Consumer","North America,EMEA",standard,6-10,"business_plan,financial_projections",
Index Ventures 3,https://indexventures3.io,https://indexventures3.io/apply,,email,"Series B,Seed","Marketplace,E-commerce,B2B SaaS","Europe,EMEA",simple,1-5,"video,business_plan",
Index Ventures 4,https://indexventures4.com,https://indexventures4.com/apply,apply@indexventures4.com,email,"Seed,Series C","AI/ML,B2B SaaS,Developer tools","North America,Europe",comprehensive,21+,"business_plan,video",
TPG Growth 4,https://tpggrowth4.capital,https://tpggrowth4.capital/apply,,email,"Seed,Pre-seed","B2B SaaS,Healthtech,Consumer","EMEA,Europe",comprehensive,6-10,"video,traction_data",
Union Square Ventures 4,https://unionsquareventures4.com,https://unionsquareventures4.com/apply,apply@unionsquareventures4.com,other,"Series B,Series A","B2B SaaS,Gaming,E-commerce","Europe,North America",comprehensive,1-5,"business_plan,pitch_deck",
SoftBank Vision Fund 5,https://softbankvisionfund5.com,https://softbankvisionfund5.com/apply,apply@softbankvisionfund5.com,form,"Series B,Seed","B2B SaaS,Gaming,AI/ML","EMEA,Europe",simple,11-20,"pitch_deck,video",Generated sample data for testing
New Enterprise Associates 4,https://newenterpriseassocia.capital,https://newenterpriseassocia.capital/apply,apply@newenterpriseassocia.capital,email,"Pre-seed,Series B","Gaming,B2B SaaS,Marketplace","Asia,Global",comprehensive,21+,"pitch_deck,video",Generated sample data for testing
Bessemer Venture Partners 5,https://bessemerventurepartn.io,https://bessemerventurepartn.io/apply,apply@bessemerventurepartn.io,other,"Series A,Seed","B2B SaaS,Deep tech,Fintech","North America,Europe",comprehensive,21+,"video,business_plan",Generated sample data for testing
Advent International 8,https://adventinternational8.vc,https://adventinternational8.vc/apply,apply@adventinternational8.vc,email,"Series C,Series B","AI/ML,B2B SaaS,Developer tools","EMEA,Europe",simple,21+,"pitch_deck,traction_data",Generated sample data for testing
Insight Partners 4,https://insightpartners4.io,https://insightpartners4.io/apply,,form,"Seed,Pre-seed","B2B SaaS,Fintech,Developer tools","EMEA,Asia",comprehensive,21+,"pitch_deck,traction_data",
Salesforce Ventures 4,https://salesforceventures4.com,https://salesforceventures4.com/apply,,other,"Seed,Series A","Deep tech,E-commerce,Fintech","Global,North America",comprehensive,21+,"business_plan,pitch_deck",Generated sample data for testing
Benchmark Capital 5,https://benchmarkcapital5.com,https://benchmarkcapital5.com/apply,apply@benchmarkcapital5.com,form,"Seed,Series B","B2B SaaS,E-commerce,Web3","Global,Europe",comprehensive,1-5,"business_plan,traction_data",
General Atlantic 4,https://generalatlantic4.io,https://generalatlantic4.io/apply,apply@generalatlantic4.io,email,"Series A,Series B","AI/ML,Web3,Developer tools","EMEA,North America",standard,6-10,"traction_data,business_plan",Generated sample data for testing
Silver Lake Partners 5,https://silverlakepartners5.capital,https://silverlakepartners5.capital/apply,,email,"Series C,Series B","Climate tech,Marketplace,B2B SaaS","Asia,Global",simple,1-5,"financial_projections,pitch_deck",
Index Ventures 5,https://indexventures5.vc,https://indexventures5.vc/apply,apply@indexventures5.vc,email,"Seed,Series B","B2B SaaS,Consumer,AI/ML","North America,Asia",simple,11-20,"pitch_deck,video",Generated sample data for testing
Salesforce Ventures 5,https://salesforceventures5.io,https://salesforceventures5.io/apply,apply@salesforceventures5.io,email,"Series C,Seed","Deep tech,AI/ML,Developer tools","EMEA,Global",standard,11-20,"business_plan,financial_projections",Generated sample data for testing
Union Square Ventures 5,https://unionsquareventures5.com,https://unionsquareventures5.com/apply,,email,"Seed,Pre-seed","Marketplace,Gaming,Climate tech","Global,North America",standard,21+,"financial_projections,traction_data",Generated sample data for testing
KKR & Co 4,https://kkrco4.vc,https://kkrco4.vc/apply,,email,"Series A,Series B","Deep tech,B2B SaaS,Fintech","Europe,North America",standard,6-10,"pitch_deck,business_plan",
Vista Equity Partners 4,https://vistaequitypartners4.capital,https://vistaequitypartners4.capital/apply,apply@vistaequitypartners4.capital,email,"Pre-seed,Series A","B2B SaaS,Fintech,E-commerce","EMEA,Europe",comprehensive,11-20,"business_plan,pitch_deck",
Andreessen Horowitz 5,https://andreessenhorowitz5.capital,https://andreessenhorowitz5.capital/apply,apply@andreessenhorowitz5.capital,email,"Series B,Series C","AI/ML,Deep tech,Gaming","Global,EMEA",comprehensive,6-10,"business_plan,video",
General Catalyst 4,https://generalcatalyst4.com,https://generalcatalyst4.com/apply,apply@generalcatalyst4.com,form,"Series A,Series B","Climate tech,Deep tech,B2B SaaS","Global,North America",comprehensive,11-20,"business_plan,traction_data",Generated sample data for testing
Advent International 9,https://adventinternational9.co,https://adventinternational9.co/apply,apply@adventinternational9.co,form,"Series A,Series B","Gaming,AI/ML,Consumer","EMEA,Asia",standard,11-20,"financial_projections,pitch_deck",
Blackstone Growth 7,https://blackstonegrowth7.co,https://blackstonegrowth7.co/apply,apply@blackstonegrowth7.co,form,"Series C,Series B","B2B SaaS,Climate tech,Web3","North America,Global",comprehensive,6-10,"video,pitch_deck",
Lightspeed Venture Partners 4,https://lightspeedventurepar.io,https://lightspeedventurepar.io/apply,apply@lightspeedventurepar.io,form,"Series A,Pre-seed","Healthtech,E-commerce,Fintech","EMEA,North America",simple,21+,"business_plan,pitch_deck",Generated sample data for testing
General Catalyst 5,https://generalcatalyst5.io,https://generalcatalyst5.io/apply,apply@generalcatalyst5.io,other,"Seed,Series C","Deep tech,E-commerce,Consumer","EMEA,North America",comprehensive,21+,"pitch_deck,business_plan",Generated sample data for testing
GV (Google Ventures) 4,https://gvgoogleventures4.vc,https://gvgoogleventures4.vc/apply,apply@gvgoogleventures4.vc,email,"Seed,Series A","AI/ML,Developer tools,Gaming","Europe,EMEA",simple,1-5,"video,pitch_deck",
Bessemer Venture Partners 6,https://bessemerventurepartn.vc,https://bessemerventurepartn.vc/apply,apply@bessemerventurepartn.vc,email,"Pre-seed,Series C","Web3,E-commerce,Developer tools","North America,Asia",comprehensive,11-20,"business_plan,pitch_deck",
Coatue Management 5,https://coatuemanagement5.capital,https://coatuemanagement5.capital/apply,apply@coatuemanagement5.capital,email,"Pre-seed,Series B","B2B SaaS,Healthtech,E-commerce","North America,Europe",standard,1-5,"video,pitch_deck",Generated sample data for testing
Silver Lake Partners 6,https://silverlakepartners6.capital,https://silverlakepartners6.capital/apply,,form,"Series A,Seed","AI/ML,B2B SaaS,Consumer","Europe,Asia",comprehensive,6-10,"video,financial_projections",
Warburg Pincus 4,https://warburgpincus4.co,https://warburgpincus4.co/apply,apply@warburgpincus4.co,email,"Series B,Series C","Developer tools,B2B SaaS,Fintech","EMEA,Asia",comprehensive,21+,"business_plan,video",
GV (Google Ventures) 5,https://gvgoogleventures5.co,https://gvgoogleventures5.co/apply,,email,"Series C,Series B","Healthtech,B2B SaaS,Climate tech","North America,Europe",standard,21+,"video,financial_projections",Generated sample data for testing
DST Global 4,https://dstglobal4.co,https://dstglobal4.co/apply,apply@dstglobal4.co,form,"Series B,Series A","B2B SaaS,Fintech,Healthtech","North America,Europe",comprehensive,11-20,"traction_data,financial_projections",
SoftBank Vision Fund 6,https://softbankvisionfund6.capital,https://softbankvisionfund6.capital/apply,apply@softbankvisionfund6.capital,form,"Series B,Series C","B2B SaaS,Web3,Consumer","EMEA,Europe",comprehensive,6-10,"pitch_deck,financial_projections",
Advent International 10,https://adventinternational1.com,https://adventinternational1.com/apply,apply@adventinternational1.com,other,"Pre-seed,Series B","Fintech,B2B SaaS,Web3","Global,EMEA",simple,1-5,"financial_projections,video",Generated sample data for testing
GV (Google Ventures) 6,https://gvgoogleventures6.vc,https://gvgoogleventures6.vc/apply,,other,"Series A,Series B","Healthtech,Consumer,B2B SaaS","Europe,Global",standard,1-5,"pitch_deck,financial_projections",
Tiger Global Management 5,https://tigerglobalmanagemen.io,https://tigerglobalmanagemen.io/apply,,form,"Pre-seed,Series B","B2B SaaS,Fintech,Consumer","Global,Europe",simple,1-5,"pitch_deck,video",Generated sample data for testing
