name,website,application_url,application_email,submission_type,program_type,program_duration,location,is_remote_friendly,batch_size,batches_per_year,next_application_deadline,stage_focus,industry_focus,region_focus,equity_taken,funding_provided,acceptance_rate,form_complexity,required_documents,program_fee,is_active,notes
500 Startups 2,https://500startups2.io,https://500startups2.io/apply,apply@500startups2.io,form,remote,3 months,Singapore,true,1-10,3,2024-12-31,"Seed,Pre-seed","B2B SaaS,Deep tech,Gaming",North America,0%,25K-50K,<1%,standard,"business_plan,pitch_deck",0,true,Generated sample data for testing
AngelPad 2,https://angelpad2.capital,https://angelpad2.capital/apply,apply@angelpad2.capital,form,hybrid,12 months,"Berlin, Germany",true,11-20,4,2024-12-31,"Pre-seed,Series A","B2B SaaS,Fintech,Consumer",EMEA,1-3%,25K-50K,6-10%,simple,"video,financial_projections",0,true,Generated sample data for testing
Entrepreneurs Roundtable Accelerator 2,https://entrepreneursroundta.vc,https://entrepreneursroundta.vc/apply,apply@entrepreneursroundta.vc,form,remote,6 months,"Boston, MA",true,11-20,2,2024-12-31,"Seed,Pre-seed","Developer tools,Climate tech,AI/ML",Asia,7-10%,100K-250K,<1%,standard,"business_plan,pitch_deck",6738,true,Generated sample data for testing
Plug and Play 2,https://plugandplay2.capital,https://plugandplay2.capital/apply,apply@plugandplay2.capital,form,in-person,3 months,"New York, NY",false,11-20,4,2024-12-31,"Seed,Series A","Developer tools,AI/ML,B2B SaaS",Europe,0%,100K-250K,6-10%,simple,"video,pitch_deck",0,true,Generated sample data for testing
AngelPad 3,https://angelpad3.vc,https://angelpad3.vc/apply,apply@angelpad3.vc,form,in-person,12 months,"New York, NY",true,1-10,4,2024-12-31,"Series A,Pre-seed","E-commerce,Healthtech,Web3",EMEA,1-3%,25K-50K,6-10%,standard,"video,financial_projections",0,true,Generated sample data for testing
SOSV 3,https://sosv3.com,https://sosv3.com/apply,apply@sosv3.com,form,hybrid,3 months,"San Francisco, CA",true,1-10,4,2024-12-31,"Pre-seed,Seed","Climate tech,Consumer,B2B SaaS",EMEA,0%,100K-250K,<1%,simple,"business_plan,pitch_deck",3757,true,Generated sample data for testing
Startupbootcamp 2,https://startupbootcamp2.vc,https://startupbootcamp2.vc/apply,apply@startupbootcamp2.vc,form,in-person,6 months,"Austin, TX",false,1-10,3,2024-12-31,"Series A,Seed","B2B SaaS,E-commerce,Marketplace",Asia,0%,25K-50K,<1%,standard,"financial_projections,video",1665,true,Generated sample data for testing
Entrepreneurs Roundtable Accelerator 3,https://entrepreneursroundta.com,https://entrepreneursroundta.com/apply,apply@entrepreneursroundta.com,form,remote,6 months,"Berlin, Germany",false,11-20,2,2024-12-31,"Pre-seed,Seed","B2B SaaS,Marketplace,E-commerce",Global,1-3%,100K-250K,1-5%,standard,"business_plan,pitch_deck",0,true,Generated sample data for testing
SOSV 4,https://sosv4.capital,https://sosv4.capital/apply,apply@sosv4.capital,form,hybrid,3 months,"Austin, TX",false,11-20,3,2024-12-31,"Seed,Series A","Consumer,Climate tech,AI/ML",Global,4-6%,50K-100K,1-5%,simple,"video,business_plan",0,true,Generated sample data for testing
Y Combinator 2,https://ycombinator2.capital,https://ycombinator2.capital/apply,apply@ycombinator2.capital,form,hybrid,3 months,Singapore,true,11-20,2,2024-12-31,"Pre-seed,Seed","AI/ML,B2B SaaS,Climate tech",North America,4-6%,0-25K,1-5%,standard,"video,pitch_deck",0,true,Generated sample data for testing
AngelPad 4,https://angelpad4.capital,https://angelpad4.capital/apply,apply@angelpad4.capital,form,in-person,6 months,"San Francisco, CA",false,1-10,1,2024-12-31,"Series A,Pre-seed","B2B SaaS,AI/ML,Fintech",Asia,0%,100K-250K,1-5%,comprehensive,"video,pitch_deck",0,true,Generated sample data for testing
Seedcamp 2,https://seedcamp2.com,https://seedcamp2.com/apply,apply@seedcamp2.com,form,remote,12 months,"Boston, MA",true,1-10,1,2024-12-31,"Series A,Seed","Fintech,AI/ML,Climate tech",North America,0%,50K-100K,<1%,standard,"business_plan,video",0,true,Generated sample data for testing
AngelPad 5,https://angelpad5.io,https://angelpad5.io/apply,apply@angelpad5.io,form,in-person,6 months,"New York, NY",false,21-50,2,2024-12-31,"Seed,Pre-seed","E-commerce,B2B SaaS,Developer tools",Asia,7-10%,100K-250K,1-5%,standard,"pitch_deck,business_plan",0,true,Generated sample data for testing
SOSV 5,https://sosv5.co,https://sosv5.co/apply,apply@sosv5.co,form,in-person,6 months,"Berlin, Germany",false,21-50,2,2024-12-31,"Seed,Pre-seed","Fintech,Developer tools,B2B SaaS",Europe,4-6%,100K-250K,1-5%,comprehensive,"pitch_deck,video",0,true,Generated sample data for testing
Alchemist Accelerator 3,https://alchemistaccelerator.vc,https://alchemistaccelerator.vc/apply,apply@alchemistaccelerator.vc,form,hybrid,6 months,"Boston, MA",false,1-10,2,2024-12-31,"Series A,Seed","Consumer,E-commerce,Climate tech",Asia,7-10%,100K-250K,<1%,standard,"video,traction_data",3740,true,Generated sample data for testing
Plug and Play 3,https://plugandplay3.co,https://plugandplay3.co/apply,apply@plugandplay3.co,form,in-person,12 months,"Austin, TX",true,21-50,2,2024-12-31,"Seed,Pre-seed","Consumer,Climate tech,B2B SaaS",North America,1-3%,100K-250K,6-10%,standard,"video,pitch_deck",0,true,Generated sample data for testing
Seedcamp 3,https://seedcamp3.io,https://seedcamp3.io/apply,apply@seedcamp3.io,form,in-person,12 months,"Berlin, Germany",true,1-10,4,2024-12-31,"Series A,Pre-seed","E-commerce,B2B SaaS,Marketplace",Asia,4-6%,50K-100K,1-5%,comprehensive,"pitch_deck,business_plan",0,true,Generated sample data for testing
Startupbootcamp 3,https://startupbootcamp3.vc,https://startupbootcamp3.vc/apply,apply@startupbootcamp3.vc,form,in-person,3 months,"Berlin, Germany",true,1-10,1,2024-12-31,"Pre-seed,Seed","Developer tools,B2B SaaS,Deep tech",Global,4-6%,0-25K,<1%,standard,"pitch_deck,business_plan",0,true,Generated sample data for testing
Startupbootcamp 4,https://startupbootcamp4.co,https://startupbootcamp4.co/apply,apply@startupbootcamp4.co,form,in-person,3 months,"San Francisco, CA",true,21-50,2,2024-12-31,"Seed,Series A","E-commerce,B2B SaaS,AI/ML",Global,0%,0-25K,1-5%,comprehensive,"business_plan,traction_data",5287,true,Generated sample data for testing
Plug and Play 4,https://plugandplay4.io,https://plugandplay4.io/apply,apply@plugandplay4.io,form,hybrid,12 months,"Seattle, WA",false,21-50,4,2024-12-31,"Series A,Seed","B2B SaaS,Gaming,Fintech",Europe,1-3%,25K-50K,<1%,simple,"pitch_deck,financial_projections",9311,true,Generated sample data for testing
Startupbootcamp 5,https://startupbootcamp5.co,https://startupbootcamp5.co/apply,apply@startupbootcamp5.co,form,in-person,6 months,"Boston, MA",true,1-10,3,2024-12-31,"Series A,Pre-seed","Fintech,Healthtech,Climate tech",Europe,7-10%,25K-50K,<1%,standard,"pitch_deck,traction_data",1702,true,Generated sample data for testing
Founder Institute 3,https://founderinstitute3.capital,https://founderinstitute3.capital/apply,apply@founderinstitute3.capital,form,in-person,12 months,"Berlin, Germany",false,1-10,2,2024-12-31,"Seed,Pre-seed","Healthtech,Marketplace,E-commerce",North America,1-3%,50K-100K,6-10%,comprehensive,"business_plan,video",0,true,Generated sample data for testing
Y Combinator 3,https://ycombinator3.com,https://ycombinator3.com/apply,apply@ycombinator3.com,form,remote,3 months,"San Francisco, CA",false,1-10,4,2024-12-31,"Pre-seed,Series A","Consumer,Web3,E-commerce",North America,4-6%,0-25K,<1%,simple,"pitch_deck,financial_projections",0,true,Generated sample data for testing
MassChallenge 3,https://masschallenge3.io,https://masschallenge3.io/apply,apply@masschallenge3.io,form,remote,12 months,Singapore,true,1-10,4,2024-12-31,"Seed,Pre-seed","AI/ML,Deep tech,Web3",Global,7-10%,50K-100K,1-5%,simple,"business_plan,financial_projections",0,true,Generated sample data for testing
RGA Accelerator 3,https://rgaaccelerator3.capital,https://rgaaccelerator3.capital/apply,apply@rgaaccelerator3.capital,form,hybrid,3 months,"San Francisco, CA",true,21-50,2,2024-12-31,"Seed,Pre-seed","B2B SaaS,Gaming,Fintech",Europe,1-3%,25K-50K,6-10%,comprehensive,"video,business_plan",0,true,Generated sample data for testing
Entrepreneurs Roundtable Accelerator 4,https://entrepreneursroundta.com,https://entrepreneursroundta.com/apply,apply@entrepreneursroundta.com,form,hybrid,3 months,"Austin, TX",true,11-20,2,2024-12-31,"Pre-seed,Series A","Fintech,E-commerce,Developer tools",Asia,1-3%,0-25K,6-10%,simple,"business_plan,pitch_deck",3547,true,Generated sample data for testing
RGA Accelerator 4,https://rgaaccelerator4.co,https://rgaaccelerator4.co/apply,apply@rgaaccelerator4.co,form,hybrid,3 months,"Boston, MA",true,21-50,1,2024-12-31,"Seed,Pre-seed","Marketplace,Deep tech,Consumer",Europe,0%,100K-250K,6-10%,standard,"business_plan,video",0,true,Generated sample data for testing
Y Combinator 4,https://ycombinator4.vc,https://ycombinator4.vc/apply,apply@ycombinator4.vc,form,remote,12 months,"Austin, TX",false,11-20,3,2024-12-31,"Pre-seed,Series A","Marketplace,Consumer,Gaming",EMEA,1-3%,100K-250K,6-10%,comprehensive,"pitch_deck,video",0,true,Generated sample data for testing
Founder Institute 4,https://founderinstitute4.capital,https://founderinstitute4.capital/apply,apply@founderinstitute4.capital,form,remote,3 months,Singapore,true,1-10,2,2024-12-31,"Series A,Pre-seed","Consumer,Deep tech,Gaming",Global,7-10%,25K-50K,<1%,comprehensive,"traction_data,video",1240,true,Generated sample data for testing
SOSV 6,https://sosv6.io,https://sosv6.io/apply,apply@sosv6.io,form,remote,3 months,"Seattle, WA",false,21-50,3,2024-12-31,"Series A,Pre-seed","Consumer,Climate tech,B2B SaaS",Europe,0%,100K-250K,6-10%,standard,"pitch_deck,business_plan",0,true,Generated sample data for testing
500 Startups 4,https://500startups4.com,https://500startups4.com/apply,apply@500startups4.com,form,hybrid,6 months,"Austin, TX",false,11-20,1,2024-12-31,"Pre-seed,Seed","B2B SaaS,Marketplace,Developer tools",Europe,0%,50K-100K,1-5%,standard,"financial_projections,video",0,true,Generated sample data for testing
Founder Institute 5,https://founderinstitute5.co,https://founderinstitute5.co/apply,apply@founderinstitute5.co,form,remote,3 months,"Seattle, WA",false,11-20,2,2024-12-31,"Pre-seed,Series A","Deep tech,Climate tech,Developer tools",EMEA,4-6%,0-25K,<1%,simple,"pitch_deck,financial_projections",5738,true,Generated sample data for testing
Plug and Play 5,https://plugandplay5.vc,https://plugandplay5.vc/apply,apply@plugandplay5.vc,form,hybrid,3 months,"Boston, MA",false,11-20,4,2024-12-31,"Seed,Pre-seed","AI/ML,Healthtech,Deep tech",EMEA,1-3%,0-25K,6-10%,standard,"financial_projections,traction_data",0,true,Generated sample data for testing
Plug and Play 6,https://plugandplay6.vc,https://plugandplay6.vc/apply,apply@plugandplay6.vc,form,remote,3 months,"Berlin, Germany",true,21-50,1,2024-12-31,"Pre-seed,Seed","B2B SaaS,Fintech,Developer tools",Global,0%,50K-100K,1-5%,standard,"traction_data,business_plan",6812,true,Generated sample data for testing
Barclays Accelerator 4,https://barclaysaccelerator4.io,https://barclaysaccelerator4.io/apply,apply@barclaysaccelerator4.io,form,in-person,3 months,"Berlin, Germany",true,21-50,1,2024-12-31,"Pre-seed,Seed","AI/ML,B2B SaaS,Climate tech",North America,1-3%,0-25K,6-10%,simple,"traction_data,financial_projections",4803,true,Generated sample data for testing
RGA Accelerator 5,https://rgaaccelerator5.capital,https://rgaaccelerator5.capital/apply,apply@rgaaccelerator5.capital,form,in-person,6 months,"San Francisco, CA",true,1-10,4,2024-12-31,"Pre-seed,Seed","AI/ML,B2B SaaS,Developer tools",Asia,7-10%,0-25K,<1%,comprehensive,"business_plan,pitch_deck",0,true,Generated sample data for testing
Y Combinator 5,https://ycombinator5.co,https://ycombinator5.co/apply,apply@ycombinator5.co,form,in-person,3 months,"San Francisco, CA",false,1-10,3,2024-12-31,"Pre-seed,Seed","Gaming,B2B SaaS,E-commerce",North America,7-10%,0-25K,6-10%,standard,"video,financial_projections",0,true,Generated sample data for testing
Plug and Play 7,https://plugandplay7.vc,https://plugandplay7.vc/apply,apply@plugandplay7.vc,form,in-person,3 months,Singapore,false,21-50,2,2024-12-31,"Seed,Series A","E-commerce,Developer tools,AI/ML",Asia,4-6%,100K-250K,6-10%,comprehensive,"video,pitch_deck",8970,true,Generated sample data for testing
500 Startups 5,https://500startups5.vc,https://500startups5.vc/apply,apply@500startups5.vc,form,in-person,12 months,"London, UK",true,11-20,4,2024-12-31,"Seed,Pre-seed","Healthtech,AI/ML,E-commerce",Europe,7-10%,0-25K,6-10%,simple,"business_plan,video",0,true,Generated sample data for testing
Plug and Play 8,https://plugandplay8.com,https://plugandplay8.com/apply,apply@plugandplay8.com,form,in-person,6 months,"Berlin, Germany",true,11-20,2,2024-12-31,"Seed,Pre-seed","Marketplace,B2B SaaS,Developer tools",EMEA,1-3%,50K-100K,<1%,standard,"financial_projections,pitch_deck",3704,true,Generated sample data for testing
Barclays Accelerator 5,https://barclaysaccelerator5.vc,https://barclaysaccelerator5.vc/apply,apply@barclaysaccelerator5.vc,form,in-person,12 months,"Austin, TX",false,1-10,1,2024-12-31,"Pre-seed,Seed","B2B SaaS,Fintech,Marketplace",EMEA,4-6%,50K-100K,1-5%,simple,"pitch_deck,video",0,true,Generated sample data for testing
Alchemist Accelerator 4,https://alchemistaccelerator.io,https://alchemistaccelerator.io/apply,apply@alchemistaccelerator.io,form,remote,6 months,"Boston, MA",false,11-20,3,2024-12-31,"Pre-seed,Series A","Climate tech,B2B SaaS,Web3",North America,4-6%,25K-50K,1-5%,comprehensive,"video,pitch_deck",2394,true,Generated sample data for testing
SOSV 7,https://sosv7.capital,https://sosv7.capital/apply,apply@sosv7.capital,form,in-person,6 months,"Boston, MA",true,1-10,1,2024-12-31,"Pre-seed,Seed","Climate tech,Fintech,AI/ML",Asia,7-10%,50K-100K,6-10%,simple,"pitch_deck,business_plan",1974,true,Generated sample data for testing
RGA Accelerator 6,https://rgaaccelerator6.co,https://rgaaccelerator6.co/apply,apply@rgaaccelerator6.co,form,in-person,3 months,Singapore,true,11-20,3,2024-12-31,"Seed,Pre-seed","Developer tools,B2B SaaS,Deep tech",North America,7-10%,100K-250K,<1%,simple,"business_plan,financial_projections",0,true,Generated sample data for testing
Seedcamp 5,https://seedcamp5.co,https://seedcamp5.co/apply,apply@seedcamp5.co,form,in-person,6 months,"London, UK",false,11-20,1,2024-12-31,"Pre-seed,Seed","Deep tech,B2B SaaS,Fintech",Global,1-3%,100K-250K,<1%,standard,"video,pitch_deck",0,true,Generated sample data for testing
HAX 5,https://hax5.io,https://hax5.io/apply,apply@hax5.io,form,remote,3 months,"London, UK",true,11-20,2,2024-12-31,"Seed,Pre-seed","Climate tech,Consumer,Web3",Europe,4-6%,25K-50K,<1%,comprehensive,"pitch_deck,video",0,true,Generated sample data for testing
HAX 6,https://hax6.vc,https://hax6.vc/apply,apply@hax6.vc,form,hybrid,12 months,"London, UK",false,21-50,2,2024-12-31,"Seed,Pre-seed","E-commerce,Climate tech,AI/ML",Global,1-3%,0-25K,1-5%,simple,"video,pitch_deck",5420,true,Generated sample data for testing
SOSV 8,https://sosv8.vc,https://sosv8.vc/apply,apply@sosv8.vc,form,remote,12 months,"New York, NY",false,21-50,2,2024-12-31,"Seed,Pre-seed","Healthtech,Developer tools,Climate tech",Europe,7-10%,50K-100K,<1%,simple,"business_plan,financial_projections",5272,true,Generated sample data for testing
SOSV 9,https://sosv9.io,https://sosv9.io/apply,apply@sosv9.io,form,hybrid,6 months,"Austin, TX",false,21-50,1,2024-12-31,"Seed,Pre-seed","Climate tech,Web3,Developer tools",North America,1-3%,50K-100K,1-5%,comprehensive,"financial_projections,pitch_deck",2829,true,Generated sample data for testing
AngelPad 6,https://angelpad6.capital,https://angelpad6.capital/apply,apply@angelpad6.capital,form,in-person,12 months,"New York, NY",true,21-50,3,2024-12-31,"Series A,Pre-seed","B2B SaaS,Fintech,Healthtech",Europe,7-10%,100K-250K,<1%,comprehensive,"business_plan,financial_projections",0,true,Generated sample data for testing
SOSV 10,https://sosv10.com,https://sosv10.com/apply,apply@sosv10.com,form,remote,6 months,"Austin, TX",true,21-50,2,2024-12-31,"Series A,Pre-seed","AI/ML,Healthtech,Deep tech",Europe,0%,100K-250K,<1%,standard,"traction_data,video",2681,true,Generated sample data for testing
Y Combinator 6,https://ycombinator6.com,https://ycombinator6.com/apply,apply@ycombinator6.com,form,remote,12 months,"Berlin, Germany",false,1-10,1,2024-12-31,"Pre-seed,Series A","B2B SaaS,Gaming,Developer tools",EMEA,7-10%,100K-250K,6-10%,simple,"video,pitch_deck",0,true,Generated sample data for testing
Y Combinator 7,https://ycombinator7.vc,https://ycombinator7.vc/apply,apply@ycombinator7.vc,form,hybrid,3 months,"Austin, TX",true,11-20,1,2024-12-31,"Pre-seed,Series A","Fintech,Developer tools,Healthtech",North America,7-10%,100K-250K,<1%,comprehensive,"pitch_deck,business_plan",5879,true,Generated sample data for testing
Plug and Play 9,https://plugandplay9.io,https://plugandplay9.io/apply,apply@plugandplay9.io,form,hybrid,12 months,"Boston, MA",false,21-50,3,2024-12-31,"Seed,Series A","Climate tech,B2B SaaS,Consumer",North America,0%,0-25K,<1%,standard,"traction_data,video",3369,true,Generated sample data for testing
MassChallenge 5,https://masschallenge5.vc,https://masschallenge5.vc/apply,apply@masschallenge5.vc,form,in-person,6 months,"New York, NY",false,21-50,3,2024-12-31,"Series A,Seed","Web3,Deep tech,Climate tech",Europe,7-10%,0-25K,6-10%,simple,"traction_data,pitch_deck",7842,true,Generated sample data for testing
Seedcamp 6,https://seedcamp6.vc,https://seedcamp6.vc/apply,apply@seedcamp6.vc,form,remote,6 months,"San Francisco, CA",true,21-50,3,2024-12-31,"Pre-seed,Seed","B2B SaaS,Fintech,Consumer",Europe,4-6%,50K-100K,<1%,simple,"traction_data,video",0,true,Generated sample data for testing
Techstars 5,https://techstars5.capital,https://techstars5.capital/apply,apply@techstars5.capital,form,remote,6 months,"London, UK",true,21-50,1,2024-12-31,"Seed,Pre-seed","AI/ML,B2B SaaS,Healthtech",North America,1-3%,0-25K,1-5%,comprehensive,"pitch_deck,financial_projections",4789,true,Generated sample data for testing
AngelPad 7,https://angelpad7.vc,https://angelpad7.vc/apply,apply@angelpad7.vc,form,hybrid,6 months,"San Francisco, CA",true,11-20,1,2024-12-31,"Seed,Pre-seed","Deep tech,Marketplace,Developer tools",Europe,0%,25K-50K,1-5%,standard,"video,pitch_deck",0,true,Generated sample data for testing
500 Startups 6,https://500startups6.io,https://500startups6.io/apply,apply@500startups6.io,form,remote,6 months,"Seattle, WA",true,1-10,1,2024-12-31,"Seed,Pre-seed","B2B SaaS,Fintech,Gaming",Europe,0%,50K-100K,1-5%,comprehensive,"video,traction_data",4442,true,Generated sample data for testing
Alchemist Accelerator 6,https://alchemistaccelerator.com,https://alchemistaccelerator.com/apply,apply@alchemistaccelerator.com,form,in-person,6 months,"Boston, MA",false,21-50,4,2024-12-31,"Seed,Pre-seed","Gaming,Climate tech,Web3",North America,4-6%,0-25K,1-5%,standard,"financial_projections,video",0,true,Generated sample data for testing
500 Startups 7,https://500startups7.vc,https://500startups7.vc/apply,apply@500startups7.vc,form,in-person,6 months,"Austin, TX",true,1-10,1,2024-12-31,"Seed,Pre-seed","Gaming,Deep tech,E-commerce",EMEA,4-6%,25K-50K,1-5%,simple,"video,pitch_deck",0,true,Generated sample data for testing
Y Combinator 8,https://ycombinator8.co,https://ycombinator8.co/apply,apply@ycombinator8.co,form,in-person,6 months,Singapore,true,1-10,3,2024-12-31,"Pre-seed,Seed","E-commerce,Marketplace,Deep tech",Asia,1-3%,50K-100K,1-5%,simple,"financial_projections,video",0,true,Generated sample data for testing
HAX 7,https://hax7.com,https://hax7.com/apply,apply@hax7.com,form,remote,12 months,"Austin, TX",true,21-50,4,2024-12-31,"Seed,Pre-seed","AI/ML,E-commerce,Healthtech",Europe,7-10%,0-25K,6-10%,simple,"financial_projections,business_plan",0,true,Generated sample data for testing
Y Combinator 9,https://ycombinator9.io,https://ycombinator9.io/apply,apply@ycombinator9.io,form,hybrid,3 months,"San Francisco, CA",false,1-10,1,2024-12-31,"Seed,Pre-seed","AI/ML,Web3,Gaming",Europe,4-6%,25K-50K,1-5%,standard,"financial_projections,pitch_deck",8247,true,Generated sample data for testing
HAX 8,https://hax8.co,https://hax8.co/apply,apply@hax8.co,form,remote,6 months,"New York, NY",false,1-10,3,2024-12-31,"Pre-seed,Seed","Consumer,Fintech,Marketplace",EMEA,1-3%,100K-250K,6-10%,simple,"pitch_deck,video",0,true,Generated sample data for testing
Founder Institute 6,https://founderinstitute6.io,https://founderinstitute6.io/apply,apply@founderinstitute6.io,form,hybrid,12 months,"Austin, TX",false,21-50,4,2024-12-31,"Seed,Pre-seed","Web3,B2B SaaS,Fintech",North America,0%,25K-50K,1-5%,comprehensive,"pitch_deck,financial_projections",1322,true,Generated sample data for testing
HAX 9,https://hax9.io,https://hax9.io/apply,apply@hax9.io,form,remote,3 months,"Boston, MA",false,21-50,4,2024-12-31,"Seed,Pre-seed","Web3,B2B SaaS,Fintech",Asia,1-3%,0-25K,<1%,standard,"business_plan,financial_projections",0,true,Generated sample data for testing
Y Combinator 10,https://ycombinator10.vc,https://ycombinator10.vc/apply,apply@ycombinator10.vc,form,remote,12 months,"Berlin, Germany",true,21-50,1,2024-12-31,"Pre-seed,Seed","Fintech,Deep tech,Developer tools",Global,0%,25K-50K,1-5%,standard,"pitch_deck,business_plan",0,true,Generated sample data for testing
MassChallenge 6,https://masschallenge6.co,https://masschallenge6.co/apply,apply@masschallenge6.co,form,remote,3 months,"New York, NY",false,1-10,3,2024-12-31,"Seed,Series A","B2B SaaS,Climate tech,Marketplace",Global,7-10%,100K-250K,1-5%,comprehensive,"video,business_plan",0,true,Generated sample data for testing
RGA Accelerator 7,https://rgaaccelerator7.capital,https://rgaaccelerator7.capital/apply,apply@rgaaccelerator7.capital,form,hybrid,6 months,"Austin, TX",true,11-20,1,2024-12-31,"Seed,Series A","Fintech,Gaming,Developer tools",Europe,4-6%,100K-250K,6-10%,comprehensive,"video,business_plan",6015,true,Generated sample data for testing
Techstars 6,https://techstars6.io,https://techstars6.io/apply,apply@techstars6.io,form,hybrid,3 months,"San Francisco, CA",true,1-10,3,2024-12-31,"Seed,Pre-seed","Climate tech,AI/ML,Deep tech",North America,1-3%,100K-250K,<1%,comprehensive,"video,business_plan",0,true,Generated sample data for testing
